개설강좌,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
NO,개설전공,개설과정,과목번호,분반,교과목명,담당교수,이수구분,과목세부구분,강의실습구분,교과분야,교과영역,성적부여방법,학점,이론시수,실습시수,요일/교시/강의실,비고
60,기초학부,학사,HL101,02,비교역사학,김대륜,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"월14:30-16:00(E7 - L21), 목14:30-16:00(E7 - L21)",2014~2017학번만 신청 가능
61,기초학부,학사,HL101a,01,비교역사학,김대륜,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"월10:30-12:00(E7 - L21), 목10:30-12:00(E7 - L21)",2018학번 이후 학번만 신청 가능
62,기초학부,학사,HL101a,02,비교역사학,김대륜,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"월14:30-16:00(E7 - L21), 목14:30-16:00(E7 - L21)",2018학번 이후 학번만 신청 가능
63,기초학부,학사,HL104,01,음악 II - 합창,김진수,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월16:00-18:00(S1 - 301),
64,기초학부,학사,HL104,02,음악 II - 합창,김진수,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월18:30-20:30(S1 - 301),
65,기초학부,학사,HL104,03,음악 II - 보컬,김진수,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월20:30-22:30(S1 - 301),
66,기초학부,학사,HL104,04,음악 II - 바이올린,정진희,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월16:00-18:00(S1 - 303),
67,기초학부,학사,HL104,05,음악 II - 바이올린(심화),정진희,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월18:30-20:30(S1 - 303),
68,기초학부,학사,HL104,06,음악 II - 앙상블,정광준,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월16:00-18:00(S1 - 304),
69,기초학부,학사,HL104,07,음악 II - 첼로,정광준,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월18:30-20:30(S1 - 304),
70,기초학부,학사,HL104,08,음악 II - 클라리넷,나혜수,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월16:00-18:00(S1 - 305),
71,기초학부,학사,HL104,09,음악 II - 클라리넷,나혜수,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,월18:30-20:30(S1 - 305),
72,기초학부,학사,HL104,10,음악 II - 피아노,송재경,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,화16:00-18:00(S1 - 309),
73,기초학부,학사,HL104,11,음악 II - 피아노,송재경,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,화18:30-20:30(S1 - 309),
74,기초학부,학사,HL104,12,음악 II - 피아노앙상블 (4 Hands),송재경,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,수10:30-12:30(S1 - 309),
75,기초학부,학사,HL104,13,음악 II - 바이올린,이강원,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,화18:30-20:30(S1 - 303),
76,기초학부,학사,HL104,14,음악 II - 바이올린,이강원,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,화20:30-22:30(S1 - 304),
77,기초학부,학사,HL104,15,음악 II - 클래식 기타,박종호,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,화16:00-18:00(S1 - 304),
78,기초학부,학사,HL104,16,음악 II - 클래식 기타,박종호,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,화18:30-20:30(S1 - 304),
79,기초학부,학사,HL104,17,음악 II - 클래식 기타,박종호,공통필수,교과,실습,인문소양,음악,S/U,1.0,0.0,2.0,,
80,기초학부,학사,HL106,01,체육 II - 태권도 겨루기,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,목16:30-18:30(S1 - 108),
81,기초학부,학사,HL106,02,체육 II - 태권도 겨루기,김상명,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,목16:30-18:30(S1 - 111),
82,기초학부,학사,HL106,03,체육 II - 태권도 겨루기,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,목18:30-20:30(S1 - 108),
83,기초학부,학사,HL106,04,체육 II - 태권도 겨루기,김상명,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,목18:30-20:30(S1 - 111),
84,기초학부,학사,HL106,05,체육 II - 축구,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,수10:30-12:30(S1 - 301),
85,기초학부,학사,HL106,06,체육 II - 테니스,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,수14:00-16:00(S1 - 301),
86,기초학부,학사,HL106,07,체육 II - 테니스,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,수16:00-18:00(S1 - 301),
87,기초학부,학사,HL106,08,체육 II - 배드민턴,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,월16:30-18:30(S1 - 108),
88,기초학부,학사,HL106,09,체육 II - 배드민턴,이지훈,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,월18:30-20:30(S1 - 108),
89,기초학부,학사,HL106,10,체육 II - 수영,강은석,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,월15:00-17:00(S1 - 102),
90,기초학부,학사,HL106,11,체육 II - 수영,강은석,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,월17:00-19:00(S1 - 102),
91,기초학부,학사,HL106,12,체육 II - 재활-웨이트트레이닝,김동규,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,월16:30-18:30(S1 - 206),
92,기초학부,학사,HL106,13,체육 II - 재활-웨이트트레이닝,김동규,공통필수,교과,실습,인문소양,체육,S/U,1.0,0.0,2.0,월18:30-20:30(S1 - 206),
93,기초학부,학사,HL111,01,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"월10:30-12:00(E7 - G01), 수10:30-12:00(E7 - G01)",2014~2017학번만 신청 가능
94,기초학부,학사,HL111,02,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"월14:30-16:00(E7 - G02), 수14:30-16:00(E7 - G01)",2014~2017학번만 신청 가능
95,기초학부,학사,HL111,03,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"화10:30-12:00(E7 - G01), 목10:30-12:00(E7 - G01)",2014~2017학번만 신청 가능
96,기초학부,학사,HL111,04,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"화14:30-16:00(E7 - G01), 목14:30-16:00(E7 - G01)",2014~2017학번만 신청 가능
97,기초학부,학사,HL111a,01,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"월10:30-12:00(E7 - G01), 수10:30-12:00(E7 - G01)",2018학번 이후 학번만 신청 가능
98,기초학부,학사,HL111a,02,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"월14:30-16:00(E7 - G02), 수14:30-16:00(E7 - G01)",2018학번 이후 학번만 신청 가능
99,기초학부,학사,HL111a,03,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"화10:30-12:00(E7 - G01), 목10:30-12:00(E7 - G01)",2018학번 이후 학번만 신청 가능
100,기초학부,학사,HL111a,04,쓰기·읽기·말하기,임태훈,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,화14:30-16:00(E7 - G01),2018학번 이후 학번만 신청 가능
101,기초학부,학사,HL203,01,English for Science Leaders II,Anna Rose Hull,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"월10:30-12:00(E7 - L28), 수10:30-12:00(E7 - L28)",영어강의(Delivered in English)
102,기초학부,학사,HL203,02,English for Science Leaders II,Anna Rose Hull,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"수13:00-14:30(E7 - L27), 금13:00-14:30(E7 - L27)",영어강의(Delivered in English)
103,기초학부,학사,HL203,03,English for Science Leaders II,Anna Rose Hull,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"화14:00-15:30(E7 - L27), 목14:00-15:30(E7 - L27)",영어강의(Delivered in English)
104,기초학부,학사,HL203,04,English for Science Leaders II,Anna Rose Hull,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"화10:30-12:00(E7 - L28), 목10:30-12:00(E7 - L28)",영어강의(Delivered in English)
105,기초학부,학사,HL203,05,English for Science Leaders II,Philip Johnson,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"월13:00-14:30(E7 - L28), 수13:00-14:30(E7 - L28)",영어강의(Delivered in English)
106,기초학부,학사,HL203,06,English for Science Leaders II,Philip Johnson,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"화14:00-15:30(E7 - 235), 금13:00-14:30(E7 - 235)",영어강의(Delivered in English)
107,기초학부,학사,HL203,07,English for Science Leaders II,Philip Johnson,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"월10:30-12:00(E7 - 235), 목10:30-12:00(E7 - 235)",영어강의(Delivered in English)
108,기초학부,학사,HL203,08,English for Science Leaders II,Aaron Cumberledge,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"화10:30-12:00(E7 - L27), 금10:30-12:00(E7 - L27)",영어강의(Delivered in English)
109,기초학부,학사,HL203,09,English for Science Leaders II,Aaron Cumberledge,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"화14:00-15:30(E7 - L28), 금13:00-14:30(E7 - L28)",영어강의(Delivered in English)
110,기초학부,학사,HL203,10,English for Science Leaders II,Aaron Cumberledge,공통필수,교과,이론,DGIST특성화,English for Science Leaders,S/U,2.0,3.0,0.0,"월10:30-12:00(E7 - L27), 목10:30-12:00(E7 - L27)",영어강의(Delivered in English)
111,기초학부,학사,HL204,01,동서양 철학의 통시적 이해,김남두,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"월15:30-17:00(E7 - L20), 수14:30-16:00(E7 - L20)",동일과목 : (HL102) 동서양 철학의 통시적 이해 / 2014~2017학번만 신청 가능
112,기초학부,학사,HL204,02,동서양 철학의 통시적 이해,김남두,공통필수,교과,이론,인문소양,인문사회,S/U,3.0,3.0,0.0,"화15:30-17:00(E7 - L20), 목14:30-16:00(E7 - L20)",동일과목 : (HL102) 동서양 철학의 통시적 이해 / 2014~2017학번만 신청 가능
113,기초학부,학사,HL204a,01,동서양 철학의 통시적 이해,김남두,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"월15:30-17:00(E7 - L20), 수14:30-16:00(E7 - L20)",2018학번 이후 학번만 신청 가능
114,기초학부,학사,HL204a,02,동서양 철학의 통시적 이해,김남두,공통필수,교과,이론,인문소양,인문사회,등급,3.0,3.0,0.0,"화15:30-17:00(E7 - L20), 목14:30-16:00(E7 - L20)",2018학번 이후 학번만 신청 가능
115,기초학부,학사,HL206,01,리더십(셀프리더십과 팀리더십) II,윤지성,공통필수,교과,이론,DGIST특성화,리더십,S/U,1.0,2.0,0.0,화16:00-18:00(E7 - 233),동일과목 : (HL110) 리더십(셀프리더십과 팀리더십) II
116,기초학부,학사,HL206,02,리더십(셀프리더십과 팀리더십) II,윤지성,공통필수,교과,이론,DGIST특성화,리더십,S/U,1.0,2.0,0.0,수16:00-18:00(E7 - 233),동일과목 : (HL110) 리더십(셀프리더십과 팀리더십) II
117,기초학부,학사,HL270a,01,융합탐구세미나 - 에너지,"남창훈, 이창훈, 김대륜, 이두석, 조희승, 이윤구",교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,2.0,2.0,0.0,화13:00-15:00(E7 - L20),
118,기초학부,학사,HL270a,02,융합탐구세미나 - Fundamentals of Innovation,OGAN GUREL,교선필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,2.0,2.0,0.0,금14:00-16:00(E7 - G01),영어강의(Delivered in English)
119,기초학부,학사,HL301,01,Scientific Writing,이정아,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,목15:00-17:00(E7 - L28),영어강의(Delivered in English)
120,기초학부,학사,HL301,02,Scientific Writing,이정아,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,월14:30-16:30(E7 - L28),영어강의(Delivered in English)
121,기초학부,학사,HL301,03,Scientific Writing,Anna Rose Hull,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,월13:00-15:00(E7 - 235),영어강의(Delivered in English)
122,기초학부,학사,HL301,04,Scientific Writing,Philip Johnson,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,월16:00-18:00(E7 - L27),영어강의(Delivered in English)
123,기초학부,학사,HL301,05,Scientific Writing,Philip Johnson,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,화16:00-18:00(E7 - L28),영어강의(Delivered in English)
124,기초학부,학사,HL301,06,Scientific Writing,Aaron Cumberledge,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,수10:00-12:00(E7 - L27),영어강의(Delivered in English)
125,기초학부,학사,HL301,07,Scientific Writing,Aaron Cumberledge,공통필수,교과,이론,DGIST특성화,Scientific Writing,S/U,2.0,2.0,0.0,목14:00-16:00(E7 - 235),영어강의(Delivered in English)
126,기초학부,학사,HL303,01,UGRP II - 약리 활성 물질의 경피 전달 전략 연구 및 전달물질 개발,이창훈,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,3.0,3.0,0.0,금19:00-22:00(E7 - 233),
127,기초학부,학사,HL303,02,UGRP II - 나노입자를 이용한 고분해능 막단백질의 동적 거동의 관찰,"서대하, 이종찬",공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,3.0,3.0,0.0,금19:00-22:00(E7 - 233),
128,기초학부,학사,HL303,03,"UGRP II - 생체 활동성 증진을 위한 운동신경, 근육세포 제어 및 기전 연구",이윤일,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,3.0,3.0,0.0,금19:00-22:00(E7 - 233),
129,기초학부,학사,HL303,04,UGRP II - 액션 카메라를 이용한 사회행동 중 생쥐 시점 분석 연구,최한경,공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,3.0,3.0,0.0,금19:00-22:00(E7 - 233),
130,기초학부,학사,HL303,05,UGRP II - 리만 제타함수의 이해,"안흥주, 이상철",공통필수,교과,이론,DGIST특성화,융복합(UGRP/기타),S/U,3.0,3.0,0.0,금19:00-22:00(E7 - 233),
